id,url,format,description,position,revision_id,hash,state,extras,name,resource_type,mimetype,mimetype_inner,size,last_modified,cache_url,cache_last_updated,webstore_url,webstore_last_updated,created,url_type,package_id,private
fd4d0f47-5a05-4716-861e-b0b328effe8b,https://data.wprdc.org/dataset/e41c0a67-837f-460c-94a9-6650b74f10da/resource/fd4d0f47-5a05-4716-861e-b0b328effe8b/download/alcogisallegheny-county-school-district-boundaries.geojson,GeoJSON,"",2,1e037a30-3976-4f1e-b86c-3209201d3a58,"",active,"{""datastore_active"": false}",GeoJSON,,application/json,,1747165,2023-04-08 13:27:48.782691,,,,,2020-09-29 17:01:03.843399,upload,e41c0a67-837f-460c-94a9-6650b74f10da,f
4ae88ba4-f535-44d7-9a96-08c6f38a34fc,https://data.wprdc.org/dataset/cfaffd5c-ab5a-42fd-83ae-2411e376ae0c/resource/4ae88ba4-f535-44d7-9a96-08c6f38a34fc/download/opendata-pubworks-block-party-summary-2013-2014-block-party-dataset.csv,CSV,"",0,7164a66f-53d5-43bc-aa08-0e2bbcda83b6,"",active,"{""datastore_active"": true}",Public Works - Block Party Summary,,text/csv,,,,,,,,2015-04-14 14:20:29.311106,upload,cfaffd5c-ab5a-42fd-83ae-2411e376ae0c,f
c926cfe2-e085-4808-94bc-b33895089a74,https://data.wprdc.org/dataset/8f92ae09-4cfa-4e0d-9c46-779a66d93d1e/resource/c926cfe2-e085-4808-94bc-b33895089a74/download/pittsburghpacity-designated-historic-districts.geojson,GeoJSON,"",2,a36de255-fd63-4469-97f1-70340dbb9aaa,"",active,"{""datastore_active"": false}",GeoJSON,,application/json,,83656,2023-03-29 08:01:54.426869,,,,,2021-03-09 21:02:18.793429,upload,8f92ae09-4cfa-4e0d-9c46-779a66d93d1e,f
b378b3ba-71e9-418b-9697-ecdff6f62724,http://www.makemytripcount.org/,HTML,Make My Trip Count Website,2,803276bf-0a92-4028-89e6-c7c2aa6a3c54,"",active,"{""datastore_active"": false}",Make My Trip Count Website,,text/html,,,,,,,,2017-01-06 14:49:07.419545,,2d9c9064-e2f7-489d-9b77-d2c603629a81,f
8bda6be7-e90e-46d0-8577-693a27d8812b,https://data.wprdc.org/dataset/6bb2a968-761d-48cf-ac5b-c1fc80b4fe6a/resource/8bda6be7-e90e-46d0-8577-693a27d8812b/download/pghparcelboundaries.zip,ZIP,"",1,3bc21588-61f8-4f71-a2d2-26372c44eeca,"",active,"{""datastore_active"": false}",City of Pittsburgh Parcel Boundaries,,application/zip,,,2017-04-05 19:29:15.719359,,,,,2017-04-05 15:29:15.752011,upload,6bb2a968-761d-48cf-ac5b-c1fc80b4fe6a,f
02335839-14cc-40e2-ba83-5a3f7e245658,http://gis.pittsburghpa.gov/steps/,HTML,"",0,8ae0272d-6441-439f-b195-80c9b7fc3949,"",active,"{""datastore_active"": false}",Pittsburgh Steps,,text/html,,,,,,,,2015-02-27 13:16:55.384602,,e0b3530a-b5d3-45a2-98a2-10691be491c8,f
103079a0-d5e1-4fb5-be7a-4edabb59aef3,https://data.wprdc.org/dataset/e80cb6b3-b31b-4ca8-a8ae-aee164608100/resource/103079a0-d5e1-4fb5-be7a-4edabb59aef3/download/alcogisallegheny-county-boundary.zip,ZIP,"",5,75fcccd1-1a1c-4a36-afd1-a4edfcc6f18c,"",active,"{""datastore_active"": false}",Shapefile,,application/zip,,17348,2023-04-08 13:32:27.481436,,,,,2020-09-29 17:01:09.745642,upload,e80cb6b3-b31b-4ca8-a8ae-aee164608100,f
caee9bf5-600d-47f3-9d96-63a2700622d0,"https://www.arcgis.com/home/webmap/viewer.html?webmap=3e8c4bfac2a14932b95902a479839f18&extent=-80.0287,40.4262,-79.9596,40.4761",HTML,"",0,28f578c4-5cb0-4568-b597-7a0e60334720,"",active,"{""datastore_active"": false}",MovePgh Project Map,,text/html,,,,,,,,2015-02-27 13:33:52.535225,,9bd7cbbf-a2ee-472b-8d76-a52382327c11,f
a7d68f51-875f-4872-b658-89caa6104296,http://www.openbookpittsburgh.com/SearchLobbyists.aspx,HTML,"",0,b0f847d0-19f3-45c2-ab44-fdc4c8341c64,"",active,"{""datastore_active"": false}",Lobbyist Activity,,text/html,,,,,,,,2015-04-28 16:01:58.78092,,a4e3055f-867a-47fd-a955-7d1fa3d7b836,f
906f524a-5fdb-4948-b68e-b9322dbe46e5,http://www.openbookpittsburgh.com/SearchContributions.aspx,HTML,"",0,5208546d-9694-4de0-9ccf-9d3f1bd9b330,"",active,"{""datastore_active"": false}",Campaign Finance Contributions,,text/html,,,,,,,,2015-04-28 16:02:00.546833,,d08d87ec-ea98-4dcd-848b-7a35db07622e,f
2e8fc5f7-740e-41c1-b7f5-4aa31f0676f7,https://pghgishub-pittsburghpa.opendata.arcgis.com/datasets/60b25e95c256460592304758b59de19c_0.kml?outSR=%7B%22latestWkid%22%3A3857%2C%22wkid%22%3A102100%7D,KML,"",4,f3805a8c-6b99-4b7b-83f4-b4c4a8ad8814,"",active,,KML,,application/vnd.google-earth.kml+xml,,,,,,,,2021-03-09 21:02:29.130185,,a6a84421-6484-4698-b55e-4ae57aaaae2f,f
704b4a7d-e563-475e-be65-14b038c7d1bb,https://pghgishub-pittsburghpa.opendata.arcgis.com/datasets/60b25e95c256460592304758b59de19c_0.zip?outSR=%7B%22latestWkid%22%3A3857%2C%22wkid%22%3A102100%7D,ZIP,"",5,f3805a8c-6b99-4b7b-83f4-b4c4a8ad8814,"",active,,Shapefile,,application/zip,,,,,,,,2021-03-09 21:02:29.130188,,a6a84421-6484-4698-b55e-4ae57aaaae2f,f
b3ae60bf-ecdb-4284-8848-20e25fd1458e,https://pghgishub-pittsburghpa.opendata.arcgis.com/datasets/15fc694b1d2343b28da8993bbae9095a_0,HTML,"",0,3bfb9095-fde7-47ab-8399-87803fc3aa0b,"",active,,ArcGIS Hub Dataset,,text/html,,,,,,,,2021-03-09 21:02:03.726699,,7119f9bd-b7a3-4f41-a607-27880b0981d8,f
bfa40420-f65b-40a7-8211-dbfb70c9fb5c,https://openac-alcogis.opendata.arcgis.com/datasets/faaf42d7eaa041cb9fa623ac7b42f475_0.csv?outSR=%7B%22latestWkid%22%3A2272%2C%22wkid%22%3A102729%7D,CSV,"",3,c3b3a244-4821-4b2f-aa3f-c03eb7fc213d,"",active,"{""datastore_active"": true}",CSV,,text/csv,,,,,,,,2020-10-20 17:01:32.113907,,ba5654cf-afac-4acc-a4ac-318c205141e2,f
a3bbf2e5-affd-4b36-ac60-7c4eb22c81e0,https://pghgishub-pittsburghpa.opendata.arcgis.com/datasets/60b25e95c256460592304758b59de19c_0,HTML,"",0,f3805a8c-6b99-4b7b-83f4-b4c4a8ad8814,"",active,,ArcGIS Hub Dataset,,text/html,,,,,,,,2021-03-09 21:02:29.130167,,a6a84421-6484-4698-b55e-4ae57aaaae2f,f
85924f6f-4277-4ea9-b02f-9919bfe03e50,https://data.wprdc.org/dataset/e41c0a67-837f-460c-94a9-6650b74f10da/resource/85924f6f-4277-4ea9-b02f-9919bfe03e50/download/alcogisallegheny-county-school-district-boundaries.kml,KML,"",4,fae92f34-89c4-43b3-a4b4-dff2b06194cf,"",active,"{""datastore_active"": false}",KML,,application/vnd.google-earth.kml+xml,,1199569,2023-04-08 13:27:55.548932,,,,,2020-09-29 17:01:03.843413,upload,e41c0a67-837f-460c-94a9-6650b74f10da,f
1f48b0c6-e51b-470e-8ebc-f65027fb5368,https://data.wprdc.org/dataset/7bc5037e-52fc-476d-b75c-f1629f007493/resource/1f48b0c6-e51b-470e-8ebc-f65027fb5368/download/opendata-pubworks-permitted-shelter-2015-column-names.xlsx,XLSX,Descriptions of the columns in the Permitted Shelter data set.,1,2976ccfc-2434-4a9f-a7ab-54da0043d442,"",active,"{""datastore_active"": true}",Permitted Shelter Data Dictionary,,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,,,,,,,,2015-07-20 14:08:17.372134,upload,7bc5037e-52fc-476d-b75c-f1629f007493,f
caff3dd6-9f3a-4e6a-9e20-f464308de728,https://data.wprdc.org/dataset/5934b8d1-892f-4fd7-84c1-aa890d3ff529/resource/caff3dd6-9f3a-4e6a-9e20-f464308de728/download/opendata-pubworks-field-listing-2015-column-names.xlsx,XLSX,Column descriptions for the Field Listing data set.,1,e67b5cbd-bc7f-44a5-b57f-d930fbed2a1b,"",active,"{""datastore_active"": true}",Field Listing Data Dictionary,,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,,,,,,,,2015-07-20 15:35:03.195616,upload,5934b8d1-892f-4fd7-84c1-aa890d3ff529,f
e04b14b7-543f-4a10-a686-4af37f7064cf,https://data.wprdc.org/dataset/d0b56030-3391-49db-87bd-4f1c16490fbc/resource/e04b14b7-543f-4a10-a686-4af37f7064cf/download/2019-01-30_0716-2019-02-02_1201.geojson,GeoJSON,"",10,292c04de-fb48-4c79-bbda-da9077b6b731,"",active,"{""datastore_active"": false}",2019-01-30_0716-2019-02-02_1201,,application/json,,735991950,2019-03-25 18:43:08.095689,,,,,2019-03-25 18:43:08.165747,upload,d0b56030-3391-49db-87bd-4f1c16490fbc,f
3738b143-57f8-4b66-a130-fc5357a0ff4e,https://data.wprdc.org/dataset/40188e1c-6d2e-4f20-9391-607bd3054949/resource/3738b143-57f8-4b66-a130-fc5357a0ff4e/download/land-use-zoning.xls,XLS,Zoning census data for 2010.,11,0a1a295a-489f-4f27-a423-84ebc1b965d4,"",active,"{""datastore_active"": true}",Land Use (Zoning) 2010,,application/vnd.ms-excel,,,,,,,,2015-07-20 15:20:07.989492,upload,40188e1c-6d2e-4f20-9391-607bd3054949,f
91bc0567-e15d-48d5-b99d-3b7d3460c878,https://data.wprdc.org/dataset/e298e2ae-07c0-4aa4-a2ca-2c8db845b552/resource/91bc0567-e15d-48d5-b99d-3b7d3460c878/download/pittsburghpapghwebparks.zip,ZIP,"",5,a0ecb64a-df5f-41f2-9ffe-ed38a4dcb99d,"",active,"{""datastore_active"": false}",Shapefile,,application/zip,,539726,2023-03-29 08:02:31.352604,,,,,2021-03-09 21:01:54.390984,upload,e298e2ae-07c0-4aa4-a2ca-2c8db845b552,f
fe302079-b50c-4d24-8700-ab09fa54dcaf,https://data.wprdc.org/dataset/b1137baf-7316-4e2b-8dbf-a8a72469fce3/resource/fe302079-b50c-4d24-8700-ab09fa54dcaf/download/alcogisallegheny-county-public-building-locations.kml,KML,"",4,5e3d1a1c-2cd3-4fdb-9f36-881ea5626028,"",active,"{""datastore_active"": false}",KML,,application/vnd.google-earth.kml+xml,,177711,2023-04-08 13:31:10.288772,,,,,2020-09-29 17:00:54.316638,upload,b1137baf-7316-4e2b-8dbf-a8a72469fce3,f
